event_date,total_sessions,conversions,total_revenue,conversion_rate
2020-11-02,3689,40,3393.26,0.010843046896177827
2020-11-05,3802,26,1391.18,0.006838506049447659
2020-11-07,2256,28,1682.09,0.012411347517730497
2020-11-08,2146,31,2495.54,0.014445479962721343
2020-11-09,3243,42,1660.56,0.012950971322849213
2020-11-10,3802,64,3121.25,0.016833245660178853
2020-11-11,3778,63,3727.71,0.01667548967707782
2020-11-12,3670,51,2325.9,0.013896457765667575
2020-11-14,2340,29,1714.98,0.012393162393162393
2020-11-15,2199,21,1179.24,0.009549795361527967
2020-11-16,3508,69,3938.69,0.01966932725199544
2020-11-17,4027,85,4715.48,0.02110752421157189
2020-11-19,4165,44,3541.14,0.01056422569027611
2020-11-20,4104,64,5026.72,0.015594541910331383
2020-11-21,3162,35,3170.88,0.011068943706514863
2020-11-23,3923,62,5841.28,0.015804231455518736
2020-11-24,4317,97,5789.25,0.02246930738939078
2020-11-26,4109,55,2988.6,0.013385251886103676
2020-11-29,3214,49,2562.12,0.015245799626633479
2020-12-01,4934,100,3907.21,0.020267531414673693
2020-12-04,4687,86,5022.78,0.01834862385321101
2020-12-14,5069,86,6519.78,0.01696587098046952
2020-12-17,5306,91,4334.53,0.017150395778364115
2020-12-19,3573,40,1966.85,0.01119507416736636
2020-12-20,3265,19,1061.67,0.005819295558958652
2020-12-21,3971,48,2466.5,0.012087635356333417
2020-12-23,3422,53,2813.21,0.015488018702513151
2020-12-24,2777,22,624.88,0.00792221822110191
2020-12-25,2629,17,338.81,0.006466337010270064
2020-12-26,2654,16,402.18,0.006028636021100226
2020-12-27,2659,20,716.4000000000001,0.00752162467092892
2020-12-28,3338,32,1783.1299999999999,0.009586578789694428
2020-12-29,3407,22,637.0799999999999,0.006457293806868212
2020-12-30,3190,21,463.7,0.0065830721003134795
2020-12-31,2596,22,2233.92,0.00847457627118644
2021-01-01,2296,12,810.65,0.005226480836236934
2021-01-02,2716,14,936.01,0.005154639175257732
2021-01-03,2765,14,413.28,0.005063291139240506
2021-01-04,3334,16,678.04,0.004799040191961607
2021-01-06,5968,28,1435.44,0.004691689008042895
2021-01-07,4623,25,791.15,0.0054077438892494055
2021-01-08,4228,34,1106.4,0.00804162724692526
2021-01-09,3243,18,985.07,0.005550416281221091
2021-01-10,2983,14,658.4499999999999,0.004693261816962789
2021-01-11,3928,27,1249.2,0.006873727087576375
2021-01-12,4685,43,2126.2400000000002,0.009178228388473852
2021-01-13,4494,35,1297.73,0.00778816199376947
2021-01-15,3902,38,1494.36,0.009738595592004101
2021-01-16,3154,24,1263.6200000000001,0.007609384908053266
2021-01-17,2967,14,209.57999999999998,0.0047185709470845974
2021-01-18,3577,18,764.28,0.005032149846239866
2021-01-19,4157,47,1642.6,0.011306230454654799
2021-01-20,4742,94,5121.88,0.01982285955293125
2021-01-23,3105,43,2367.2,0.013848631239935587
2021-01-24,2938,35,1595.72,0.011912865895166781
2021-01-25,3877,58,2601.4,0.01496002063451122
2021-01-26,4063,51,838.5,0.012552301255230125
2021-01-27,4465,50,241.60000000000002,0.011198208286674132
2021-01-28,4146,56,115.47,0.013506994693680656
2021-01-29,3757,51,109.92,0.013574660633484163
2021-01-30,2834,28,56.07,0.009880028228652082
2021-01-31,2780,18,0.0,0.006474820143884892
